Project	Case_ID	Sample_Type	Raw_Count	Filtered_Count
TCGA-BRCA	2cb8c866-9296-4c70-a3ea-f9a9b707895c	Primary Tumor	448	45
TCGA-BRCA	2d4c778c-7f77-4f0a-8261-2086accf15fd	Blood Derived Normal	973	70
TCGA-BRCA	2d4c778c-7f77-4f0a-8261-2086accf15fd	Primary Tumor	941	56
TCGA-BRCA	2e1e3bf0-1708-4b65-936c-48b89eb8966a	Blood Derived Normal	345	28
TCGA-BRCA	2e1e3bf0-1708-4b65-936c-48b89eb8966a	Primary Tumor	606	62
TCGA-BRCA	2e82e576-3095-4aee-9853-65f676647c34	Blood Derived Normal	254	28
TCGA-BRCA	2e82e576-3095-4aee-9853-65f676647c34	Primary Tumor	314	37
TCGA-BRCA	2e8e70f2-c781-44c2-8f12-1f8c2f536aa3	Blood Derived Normal	371	25
TCGA-BRCA	2e8e70f2-c781-44c2-8f12-1f8c2f536aa3	Primary Tumor	798	88
TCGA-BRCA	2f4cbedf-ed7e-45a2-bf34-f1d1e696bdde	Blood Derived Normal	124	15
TCGA-BRCA	2f4cbedf-ed7e-45a2-bf34-f1d1e696bdde	Primary Tumor	185	36
TCGA-BRCA	2fdfd287-d13c-4910-9788-73987d45908a	Blood Derived Normal	161	5
TCGA-BRCA	2fdfd287-d13c-4910-9788-73987d45908a	Primary Tumor	538	71
TCGA-BRCA	316625b8-a217-4829-90d1-dfd9cb7e4bc3	Blood Derived Normal	284	27
TCGA-BRCA	316625b8-a217-4829-90d1-dfd9cb7e4bc3	Primary Tumor	583	77
TCGA-BRCA	316e021c-5175-4ab3-bdb6-2bf9683f657a	Blood Derived Normal	179	15
TCGA-BRCA	316e021c-5175-4ab3-bdb6-2bf9683f657a	Primary Tumor	484	63
TCGA-BRCA	31c31cce-1b4d-4f12-922f-84f389403170	Blood Derived Normal	353	26
TCGA-BRCA	31c31cce-1b4d-4f12-922f-84f389403170	Primary Tumor	742	98
TCGA-BRCA	324bcba2-f6a4-45a6-807c-215bdffcca21	Blood Derived Normal	241	24
TCGA-BRCA	324bcba2-f6a4-45a6-807c-215bdffcca21	Primary Tumor	246	34
TCGA-BRCA	328dfcb0-b5ae-43f2-bc87-dad0ab3df9e7	Blood Derived Normal	423	61
TCGA-BRCA	328dfcb0-b5ae-43f2-bc87-dad0ab3df9e7	Primary Tumor	296	37
TCGA-BRCA	32bc7cc4-d185-4594-bbee-4b96410be512	Blood Derived Normal	519	19
TCGA-BRCA	32bc7cc4-d185-4594-bbee-4b96410be512	Primary Tumor	1067	92
