id	filename	md5	size	state
fe73c47c-b69b-4ac7-95a4-419afcb4096e	34e3c8bb-e881-451c-a3ff-60db39101b43_wxs_gdc_realn.bam	17c3e0ad386b107cad7da8b0a42936c2	17206154054	released
e2c14129-ee92-40d8-9363-32b9bd210dcc	c44645c5-d31b-43ae-9786-7fc7742d0619_wxs_gdc_realn.bam	ea24e50fb835922f714d238482c78206	12898165600	released
fb31c8e2-b751-4886-86a1-ea241f15a1ab	85de3ba8-3c04-4590-a620-c7a602f0b266_wxs_gdc_realn.bam	79668f3c2ec0f9a997a69c4ccc9c07d9	18064500110	released
0ab6584b-3faa-4c98-b237-1b265b35be27	daa07354-8687-4350-9d9c-d95db1a71517_wxs_gdc_realn.bam	b1008aed966611419723019ce534193a	16347607747	released
5bd93635-c799-4491-b103-f698d750b01a	264fb6ef-65be-48fd-8216-6c493b620ad8_wxs_gdc_realn.bam	f39e51b1994a681d395af45fb451d5f1	23464156529	released
c275bc0b-f60f-44da-a817-6044e768e296	561b8777-801a-49ed-a306-e7dafeb044b6_wxs_gdc_realn.bam	91aa2fe0d3d05a45180c58e2e9dd1a0c	18090804237	released
7a8a19ce-bf7b-4f28-9a4b-7a333e305033	97b33dc3-6a62-419a-aa6c-cb84c9f92102_wxs_gdc_realn.bam	86e84dc7d38936c12b05ace76442287c	25942560577	released
8e05d274-3c15-4e4d-aba7-d5b031460dfb	db1763d1-fcae-4a01-a0cb-3019e292aa10_wxs_gdc_realn.bam	254ca8d15f1d5e9e3a59a9ab1747fe13	25377790996	released
b45739eb-12cc-4723-9d6b-c58a68304d8a	0fb7e29d-006a-4f20-b0d8-77f941c16eaa_wxs_gdc_realn.bam	50e439e6e695d91706eee4f30636c850	18333705131	released
e5e07ccf-94a2-4a33-8eac-46005913f4db	5e1600e7-1950-44a9-a2d2-d32a8649d2ea_wxs_gdc_realn.bam	80513f27ed5d0c88cdaf51d0ae4e2b54	22789249283	released
1e23c0dd-5577-48cc-9926-ae58a0c680d5	bda47415-2577-4d09-874a-2a85e999c9cd_wxs_gdc_realn.bam	4ad7d87941c781f20ec6fb3eb33bff8d	31809595045	released
f4ecd61c-fdb9-4602-a277-9306164d8ddf	a8400863-c145-4c6c-bcf3-e4cc4d816d22_wxs_gdc_realn.bam	e7466aa153b780a050fee4bd88a2428c	43290085947	released
c8adaa85-fd12-42c7-8c59-0e5d13336884	f540c4f8-75b3-47d7-a7cf-53cbf7a2c814_wxs_gdc_realn.bam	8253474308f9e3aa2c6b108ccf41932f	36103097769	released
5c5284e9-96f3-440f-9164-8126af002759	bf8ee52e-4c02-4228-a357-0617a13a73bf_wxs_gdc_realn.bam	d9e3bd3c425430215613542bb0558f93	30743013003	released
7411ce0b-23e1-459e-be70-07354eeb1f56	5fcc5f15-40eb-496a-9224-b945b471c43e_wxs_gdc_realn.bam	555f04f2ce02f8db29910f6ec2f86ca9	19619895691	released
f497746b-91f9-4dc8-a85d-f7088abc37c4	b3a3a5b7-80bf-49fa-8d4f-ad3086209295_wxs_gdc_realn.bam	f71dd50b47967fbf4c862d6fe5e93051	33111020032	released
c7063a8e-2e3c-413a-bbef-5b8a29ccd034	3903b485-366d-4318-b17d-a0194f032bd8_wxs_gdc_realn.bam	34dfc3c4efd3d026df44d6ffc43a122f	43701797683	released
30f9ca3d-c7b0-467f-8eef-1dd14dbffe37	c9a00734-ddab-4cdc-9fa2-614e08118842_wxs_gdc_realn.bam	f5faafba3097251e916e0cbe4300fbf0	16146743202	released
c0b6d6d1-0533-4986-8639-5997ecc1cbcc	e606da36-cc93-4759-886c-1fe07d617705_wxs_gdc_realn.bam	570c7f6af183471047a83789b2064600	13283508899	released
02b600c0-d803-486c-a435-3520a40dd8d2	cfbd5476-e83a-401d-9f9a-639c73a0e35b_wxs_gdc_realn.bam	8242e990be59f21cd1a8d349156ee4b4	45254285322	released
20bf6493-3fcf-418c-9c80-94a91c48bf78	f5386f22-b79a-48ba-b98d-8110ae94009b_wxs_gdc_realn.bam	29a16640a17acec29671184fa8398597	46498570274	released
18455905-c14b-47f9-862a-1e963f8f66ec	ad2a2f5d-dad6-4c03-b235-20810d6d34dc_wxs_gdc_realn.bam	fb865f0f413087a370f219e90c560dda	22025554297	released
70b697ba-f40f-451f-89c1-bd517070bde4	a496949e-c185-40d9-82d2-c09d64d8b77f_wxs_gdc_realn.bam	718f9646c68ce9db59071cfa7b485d26	37942986860	released
e1219f99-5215-4d47-ac41-6d9942aff116	e783933d-1c24-4cd5-82b7-0d680f9c3c22_wxs_gdc_realn.bam	556b2ce5330b8b18cbc1d036683a7012	19000988612	released
b88470da-174c-4b3c-8fba-03682cba773c	51420539-3e3b-4b35-8041-3ec47b0adeea_wxs_gdc_realn.bam	6d1a4546ab403b1d636c0f3150b9d663	35332587908	released
